customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm,rfm_score,r_segment,f_segment,m_segment,rfm_segment,rfm_group
14397,22,23,2556.68,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
18102,22,62,256438.49,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15311,22,118,59419.34,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17428,22,33,17078.45,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12662,22,12,3817.08,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16558,22,24,8257.04,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16191,24,25,4913.32,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13113,22,40,10510.00,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14032,24,18,2929.84,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14534,24,25,4075.35,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17315,22,43,6204.46,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14189,24,24,4604.31,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16954,22,9,2085.08,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14606,23,128,11713.85,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12748,22,224,29072.10,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17581,22,31,10736.11,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12433,22,7,13375.87,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13426,22,12,3550.70,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14051,22,26,15477.34,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15694,22,15,6423.60,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17364,22,12,4455.73,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14132,24,12,3580.13,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17389,22,43,31300.08,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16705,22,29,13946.13,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14191,23,14,4660.01,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12720,24,29,5713.28,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16458,24,18,3482.74,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
18092,24,12,9065.76,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17511,24,46,88125.38,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14291,23,12,3873.30,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14085,24,19,4435.79,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12347,24,7,4310.00,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16626,22,20,4379.65,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15498,22,35,12396.46,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13069,22,27,3717.82,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16672,24,23,8093.59,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14739,24,8,3899.10,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13089,24,118,57385.88,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13777,22,41,25748.35,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12471,24,49,18740.92,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13266,33,19,3717.67,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13081,23,21,27964.48,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17419,33,14,4200.97,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16525,24,29,11895.57,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14646,23,77,279489.02,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14730,23,8,2005.06,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13004,33,22,5613.43,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13098,23,41,28658.88,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
18229,33,20,7276.90,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17651,33,14,3886.67,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17602,24,8,5050.77,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14209,32,7,2067.13,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17682,32,7,2459.33,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13263,23,35,7454.07,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14408,32,7,2606.53,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12627,32,7,4478.53,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17655,32,8,2571.74,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13198,32,8,3384.09,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13137,32,9,3605.08,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12727,32,9,3947.70,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16549,32,10,4154.64,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13668,24,29,6216.07,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15218,32,11,5756.89,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14701,32,12,2486.22,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14711,32,12,2838.20,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14961,32,12,7006.58,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14390,32,13,4592.47,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14866,32,13,14197.45,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16818,32,13,3317.97,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14088,32,14,50415.49,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13999,32,15,3865.26,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16782,32,19,2242.25,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13576,32,20,6703.30,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17306,32,21,8600.73,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15615,32,27,10360.04,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14667,32,27,9231.20,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16168,32,28,3770.60,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14180,32,31,4640.77,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
18118,32,31,5595.77,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14755,31,12,4965.38,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16712,31,11,3645.43,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13784,31,11,2462.79,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16265,31,11,5423.15,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13050,31,28,5684.61,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15903,31,8,5126.34,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12524,31,8,4485.72,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13658,31,7,2421.47,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
18241,31,18,2058.09,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14156,31,66,113384.14,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15046,31,16,5064.01,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17340,31,16,11891.18,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16401,23,20,4061.24,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15152,31,16,4684.24,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12955,23,14,4734.26,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12437,23,19,4896.66,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16717,31,9,3278.36,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15251,31,15,10327.11,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14733,31,15,9451.54,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14936,31,9,8117.42,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12476,23,20,6546.58,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15039,31,52,19786.44,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17528,23,11,3540.10,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12598,31,9,3002.68,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
18230,31,10,2716.60,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16241,31,13,2607.87,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14258,31,10,12650.08,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14713,31,12,2664.26,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14062,31,12,10464.85,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15373,30,13,2213.11,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13883,23,9,2538.75,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14659,30,12,2456.53,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14367,30,19,9167.82,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14525,30,13,4221.37,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15993,30,10,2756.82,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16242,30,8,3598.26,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12747,24,11,4196.01,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13599,23,33,5030.60,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13394,23,10,2312.80,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16156,30,13,3024.62,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14626,30,7,2757.07,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16145,30,18,3741.98,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17937,30,7,4301.22,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15144,30,18,6530.04,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16701,30,18,5150.27,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13090,30,18,8689.39,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14299,30,18,2855.35,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14766,30,8,2423.07,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14388,30,10,3172.04,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16700,30,17,5040.00,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16839,30,39,15357.78,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16011,30,16,3362.71,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14188,30,10,2018.91,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16966,30,10,2148.47,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16570,30,15,3622.95,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16293,30,12,2236.74,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17071,30,14,2385.48,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12553,30,14,3652.25,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13115,30,14,2205.63,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12562,30,7,3781.74,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14329,30,14,4928.74,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12664,30,10,4863.88,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14243,30,14,2535.88,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15544,30,11,3542.51,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17450,30,55,187482.17,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13854,30,29,8025.02,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14309,30,10,2319.68,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17381,30,30,20272.43,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16019,23,10,3450.24,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
18077,30,11,2633.01,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12901,30,36,16293.10,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13971,30,11,2702.22,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15687,30,11,2981.50,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14262,30,8,2618.23,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14135,23,15,4690.31,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17675,23,41,20098.10,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17576,30,22,3457.78,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14732,30,10,2686.34,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12621,23,23,13612.07,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13953,29,7,3515.68,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13183,29,9,3957.78,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
18097,29,7,2692.85,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14292,29,14,4819.33,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14702,23,18,3250.64,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15570,29,13,4109.97,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13014,24,16,3365.43,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12839,24,16,5583.62,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17183,29,8,3286.91,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14688,29,27,5107.38,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14092,29,17,4063.10,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13756,24,15,5145.12,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15750,24,9,2451.23,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12856,29,8,2162.68,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
16333,29,22,26626.80,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15769,29,29,51823.72,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17449,24,8,2504.86,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15755,23,8,2318.88,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
18245,29,8,2507.56,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17434,24,9,2333.42,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12704,29,10,2220.84,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13458,29,22,9537.92,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15298,24,14,3774.10,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13534,24,43,5613.08,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15271,29,16,2485.82,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14395,24,12,3471.91,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
15078,29,38,9623.35,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13870,24,10,2751.25,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14415,23,18,5811.56,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14895,29,24,11020.26,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
13408,23,81,27487.41,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14527,24,86,7711.38,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17091,24,10,3802.81,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12684,29,7,2283.63,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14769,24,10,10641.60,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12569,24,35,4064.99,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
18272,24,7,3064.78,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
14560,29,24,2174.18,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17861,25,9,2059.20,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
12921,25,50,16389.74,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17611,25,19,3947.87,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17730,25,15,5288.83,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
17686,29,7,5739.46,5,5,5,555,15,5-Most Active,5-Most Frequent,5-Most Spend,Champions,High Value
